question_id,question,qwen_rag_score,qwen_rag_label,gemma_rag_score,gemma_rag_label,qwen_norag_score,qwen_norag_label,gemma_norag_score,gemma_norag_label,best_pipeline,notes
11,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.,0.95,correct,0.95,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer accurately lists the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia, matching the core entities, mappings, and counts of the gold answer. The only minor difference is the inclusion of extra metadata such as 'Tier 1', 'General Automotive', and 'Multiple OEMs' which do not affect the factual correctness. | gemma_rag: The model-generated answer accurately identifies the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia, matching the core entities, mappings, and counts of the gold answer. The only minor difference is the inclusion of extra metadata such as 'Tier 1', 'General Automotive', and 'Multiple OEMs' which do not affect the factual correctness of the answer. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the company's core business operations, but fails to provide specific products and services associated with Sewon America Inc. in Georgia. | gemma_norag: partly correct with important missing pieces"
12,List all Tier 2/3 companies in Georgia with primary involvement in the electric vehicle or battery supply chain and specify their respective roles.,0.85,correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the involvement of Tier 2/3 companies in Georgia's electric vehicle or battery supply chain, but fails to provide specific company names and roles as requested. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the need for detailed supply chain mapping data and mentions various roles in the EV/battery supply chain, but fails to provide specific companies involved in Georgia."
13,"Show the full supplier network linked to Rivian Automotive in Georgia, broken down by tier and EV Supply Chain Role.",0.85,correct,0.85,correct,0.0,incorrect,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra metadata. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra metadata. | qwen_norag: The model-generated answer is off-topic and does not provide the required information about Rivian Automotive's supplier network in Georgia, broken down by tier and EV Supply Chain Role. | gemma_norag: The model-generated answer attempts to explain the structure of Rivian's supplier network in Georgia but fails to provide specific companies and their roles, which are crucial for a complete answer."
14,"Which Georgia companies produce battery materials such as anodes, cathodes, electrolytes, or copper foil, and what tier are they classified as?",0.95,correct,0.95,correct,0.0,incorrect,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities and mappings, with the same tier classification for each company. The only minor omission is the lack of narrative preamble describing the companies' products. | gemma_rag: The model-generated answer contains all required gold entities and mappings, with the same tier classification for each company. The only minor omission is the lack of narrative preamble describing the companies' products. | qwen_norag: The model-generated answer does not provide any specific companies in Georgia that produce battery materials, and instead provides a general explanation of how tiers are determined. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the tier classification system and mentions that Georgia has attracted some battery manufacturing, which implies component production would be present. However, it fails to provide specific company details, which are crucial for a complete answer."
15,Identify all Georgia companies with an EV Supply Chain Role related to wiring harnesses and show their Primary OEMs.,0.85,correct,0.85,correct,0.0,incorrect,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains the same two Georgia companies with an EV Supply Chain Role related to wiring harnesses as the gold answer, and their Primary OEMs are correctly listed as 'n/a'. The model's additional details about the companies' products and locations do not detract from its correctness. | gemma_rag: The model-generated answer contains the same two Georgia companies with an EV Supply Chain Role related to wiring harnesses as the gold answer, and their Primary OEMs are correctly listed as 'n/a'. The model's additional details about the companies' products and locations do not detract from its correctness. | qwen_norag: The model-generated answer is off-topic and does not provide the required information about Georgia companies with an EV Supply Chain Role related to wiring harnesses and their Primary OEMs. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the need for detailed supply chain data and mentions automotive suppliers and manufacturers in Georgia, but fails to provide specific companies and their primary OEM relationships as requested."
16,Find Georgia-based Tier 1 or Tier 1/2 suppliers capable of producing battery electrolytes or lithium-ion battery materials with existing OEM contracts.,0.85,correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble. The core entities, mappings, counts, top items, and locations match the gold answer. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble. The core entities, mappings, counts, top items, and locations match the gold answer. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the context of major automotive suppliers in Georgia but fails to provide specific companies matching the gold answer's criteria. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the need for detailed supply chain information and mentions that Georgia's attractiveness suggests it could host such facilities, but it fails to provide specific suppliers and contracts as requested."
17,Which Georgia companies manufacture high-voltage wiring harnesses or EV electrical distribution components suitable for BEV platforms?,0.95,correct,0.95,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains the same core entities (WIKA USA and Woodbridge Foam Corp.) with matching roles, products, and locations as the gold answer. The count of companies is also correct. However, the narrative framing and extra metadata in the gold answer are not present in the model-generated answer. | gemma_rag: The model-generated answer contains the same two companies (WIKA USA and Woodbridge Foam Corp.) as the gold answer, with matching roles, products, and locations. The only difference is that the model-generated answer includes extra metadata such as employment numbers and facility fields, but this does not affect the core correctness of the answer. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It mentions that companies specializing in automotive parts and components manufacture high-voltage wiring harnesses and EV electrical distribution components, but it does not provide specific company names or details as the gold answer does. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It mentions that identifying specific companies requires detailed supplier lists, but it does not provide any actual company names or details. The gold answer provides two specific companies (WIKA USA and Woodbridge Foam Corp.) that manufacture high-voltage wiring harnesses or EV electrical distribution components suitable for BEV platforms."
18,Identify Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics.,0.4,partially_correct,0.4,partially_correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains some correct entities (GSC Steel Stamping LLC, Jackson America, Inc.), but it also includes irrelevant information (Toyota Industries Electric Systems North, Hyundai Kia Rivian) and lacks the core message of the gold answer (there are no Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group). | gemma_rag: The model-generated answer contains some correct information about GSC Steel Stamping LLC, but it is missing the crucial fact that there are no Georgia Tier 2/3 companies listed under the Electronic and Other Electrical Equipment and Components industry group. The answer also includes extra metadata such as employment, location, and facility type, which are not relevant to the question. | qwen_norag: The model-generated answer partially identifies the type of companies that could potentially supply EV power electronics (those involved in manufacturing electronic and electrical equipment with capabilities in power management and semiconductor technologies). However, it fails to provide a specific list or count of Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group, which is crucial for answering the question. The answer also lacks clarity on how these companies could be upgraded to supply EV power electronics. | gemma_norag: The model-generated answer partially addresses the question by mentioning potential upgrade paths for Tier 2/3 companies in electronic/electrical equipment, but it fails to provide a clear and direct answer to the specific question about Georgia companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics. The gold answer explicitly states 'There are no Georgia Tier 2/3 companies listed under the Electronic and Other Electrical Equipment and Components industry group', which is not addressed by the model-generated answer."
19,Find Georgia-based companies that manufacture copper foil or electrodeposited materials suitable for EV battery current collectors.,0.95,correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,qwen_rag,"qwen_rag: The model-generated answer matches the gold answer in core entities (Duckyang), mappings (electrodeposited copper foil for EV battery current collectors), and location (Braselton, Jackson County). The only difference is the inclusion of extra metadata such as tier, OEM, employment, and facility fields, which do not affect the correctness of the answer. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but lacks the narrative preamble found in the human-validated gold answer. | qwen_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the involvement of advanced manufacturing and technology sectors in Georgia, but fails to provide specific companies that manufacture copper foil or electrodeposited materials suitable for EV battery current collectors. | gemma_norag: The model-generated answer partially identifies the need for specialized knowledge and mentions Georgia's manufacturing base, but fails to provide specific companies that match the gold answer."
20,"Which Georgia Tier 1/2 companies produce engineered plastics, polymers, or composite materials applicable to EV structural or thermal components?",0.95,correct,0.4,partially_correct,0.4,partially_correct,0.4,partially_correct,qwen_rag,"qwen_rag: The model-generated answer 'Not found in provided context' is a paraphrase of the gold answer and accurately reflects that no Georgia Tier 1/2 companies are explicitly identified as producing engineered plastics, polymers, or composite materials applicable to EV structural or thermal components. | gemma_rag: The model-generated answer contains some correct entities (F&P Georgia Manufacturing, Fouts Brothers Fire Equipment, Hwashin, Hyundai Transys Georgia Powertrain) but also includes incorrect or unrelated information (Hyundai Motor Group, Hyundai Industrial Co.). The gold answer explicitly states that no Georgia Tier 1/2 companies are identified as producing engineered plastics, polymers, or composite materials applicable to EV structural or thermal components. Therefore, the model-generated answer is partly correct with important missing pieces. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the type of companies involved (Tier 1/2) and their expertise in advanced materials for vehicle manufacturing, but fails to provide any specific company names or details that match the gold answer's explicit statement that no Georgia Tier 1/2 companies are identified as producing engineered plastics, polymers, or composite materials applicable to EV structural or thermal components. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the need for lightweighting and thermal management in electric vehicles, but fails to provide specific Georgia Tier 1/2 companies that produce engineered plastics, polymers, or composite materials applicable to EV structural or thermal components."
21,Find Georgia suppliers with existing Hyundai Kia contracts that could be expanded to support Hyundai Metaplant's EV battery production ramp-up.,0.6,partially_correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,gemma_rag,"qwen_rag: The model-generated answer contains some of the required entities (F&P Georgia Manufacturing, Hyundai Motor Group, Hitachi Astemo Americas Inc., Hollingsworth & Vose Co., Honda Development & Manufacturing) but is missing several others listed in the gold answer. | gemma_rag: The model-generated answer contains all required gold entities (F&P Georgia Manufacturing, Hyundai Motor Group, Hitachi Astemo Americas Inc., Hollingsworth & Vose Co., and Honda Development & Manufacturing) with correct mappings to Hyundai Kia contracts that could be expanded. The count of 5 companies is close to the gold answer's count of 11, but still within a reasonable margin for minor omissions. | qwen_norag: The model-generated answer partially identifies the task but fails to provide specific company names and contract details, which are crucial for supporting Hyundai Metaplant's EV battery production ramp-up. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the need for suppliers specializing in battery components, thermal management systems, and electrical wiring harnesses, but fails to provide specific companies that match the gold answer."
22,"Identify Georgia companies producing DC-to-DC converters, capacitors, or power electronics components relevant to EV drivetrains and what tier is each assigned?",0.85,correct,0.6,partially_correct,0.4,partially_correct,0.0,incorrect,qwen_rag,"qwen_rag: The model-generated answer contains all required entities and mappings from the gold answer, but lacks some narrative framing and includes extra harmless metadata. The count of companies is correct (3), and the top entities (GSC Steel Stamping LLC, Hyundai MOBIS (Georgia), and Hyundai Transys Georgia Seating Systems) are correctly identified with their respective tiers. | gemma_rag: The model-generated answer contains some of the required entities and mappings, but is incomplete and includes extraneous information. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the relevance of companies in Georgia's automotive supply chain but fails to provide specific company names and their corresponding tiers, which are crucial for answering the question. | gemma_norag: The model-generated answer does not provide any specific Georgia companies producing DC-to-DC converters, capacitors, or power electronics components relevant to EV drivetrains, nor does it mention the correct tier for each company."
23,"Which Georgia companies provide powder coating-related products or services, and what tier are they classified under?",0.85,correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains the core entity (Archer Aviation Inc.) and its tier classification, which matches the gold answer. However, it includes extra metadata such as OEMs, employment count, location, and facility fields that are not present in the gold answer. | gemma_rag: The model-generated answer contains the core entity (Archer Aviation Inc.) and its tier classification, which matches the gold answer. However, it includes extra metadata such as OEMs, employment count, location, and facility details that are not present in the gold answer. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies that companies providing powder coating-related products or services in Georgia would be classified under manufacturing or industrial service tiers, but it fails to provide a specific company as the gold answer does. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the general types of companies that provide powder coating-related products or services in Georgia, but fails to provide specific company names and their tiers as requested."
24,"Which Georgia companies manufacture battery parts or enclosure systems and are classified as Tier 1/2, making them ready for direct OEM engagement and show which Primary OEMs they are linked to.",0.85,correct,0.95,correct,0.4,partially_correct,0.4,partially_correct,gemma_rag,"qwen_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and some metadata fields. | gemma_rag: The model-generated answer contains all required entities and mappings from the gold answer, with some minor differences in wording and metadata. The core information about Georgia companies manufacturing battery parts or enclosure systems and classified as Tier 1/2 is accurately represented. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the type of companies (Tier 1/2) and their involvement in direct OEM engagement, but fails to provide specific company names and their corresponding Primary OEMs. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the need for detailed supply chain data and mentions potential candidates, but fails to provide specific Georgia companies meeting the Tier 1/2 classification and their exact OEM links."
25,Find Tier 2/3 Georgia-based suppliers with employment over 300 that are classified as General Automotive but produce components transferable to EV platforms.,0.6,partially_correct,0.85,correct,0.0,incorrect,0.4,partially_correct,gemma_rag,"qwen_rag: The model-generated answer contains some of the required entities and mappings, but is incomplete and lacks several key suppliers mentioned in the gold answer. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata. | qwen_norag: The model-generated answer does not provide any specific information about Tier 2/3 Georgia-based suppliers with employment over 300 that are classified as General Automotive but produce components transferable to EV platforms, and instead provides a general explanation. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the need for a supplier database and the importance of detailed classifications, but fails to provide any specific Tier 2/3 Georgia-based suppliers that meet the criteria."
26,Identify Georgia Tier 2/3 companies in the Chemicals and Allied Products industry group and list their products.,0.85,correct,0.85,correct,0.0,incorrect,0.0,incorrect,tie,"qwen_rag: The model-generated answer contains the same two companies as the gold answer and lists their products correctly. However, it lacks the exact count of companies mentioned in the gold answer (""There are 2 Georgia Tier 2/3 companies...""), which is a minor omission. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata. | qwen_norag: The model-generated answer is off-topic and does not provide the required information about Georgia Tier 2/3 companies in the Chemicals and Allied Products industry group and their products. | gemma_norag: The model-generated answer is off-topic and does not provide the required information about Georgia Tier 2/3 companies in the Chemicals and Allied Products industry group and their products."
27,"Which EV Supply Chain Roles in Georgia are served by only a single company, creating a single-point-of-failure risk for the state's EV ecosystem?",0.95,correct,0.95,correct,0.0,incorrect,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities and mappings with minor omissions in narrative preamble. | gemma_rag: The model-generated answer contains all required gold entities and mappings with minor omissions in narrative preamble. | qwen_norag: The model-generated answer does not provide any specific information about the EV Supply Chain Roles in Georgia that are served by only a single company, creating a single-point-of-failure risk for the state's EV ecosystem. | gemma_norag: The model-generated answer is partly correct with some important missing pieces. It acknowledges the need for a detailed mapping of EV supply chain roles and companies in Georgia, but fails to provide specific examples or a list of single-point-of-failure risks as requested."
28,"Which Georgia Battery Cell or Battery Pack suppliers are sole-sourced by a specific OEM, indicating high dependency risk?",0.85,correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities (F&P Georgia Manufacturing, Hollingsworth & Vose Co., IMMI, Hyundai Motor Group) but omits two other sole-sourced suppliers mentioned in the gold answer (Hitachi Astemo Americas Inc. and Honda Development & Manufacturing). | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and some metadata fields. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the concept of sole-sourcing and dependency risk, but fails to provide specific suppliers as requested in the gold answer. | gemma_norag: The model-generated answer partially identifies the concept of sole-sourcing and dependency risk, but fails to provide specific suppliers as requested in the gold answer."
29,"For Hyundai Metaplant, how many of its Georgia-based EV component suppliers have fewer than 200 employees, flagging potential capacity fragility?",0.6,partially_correct,0.85,correct,0.0,incorrect,0.0,incorrect,gemma_rag,"qwen_rag: The model-generated answer contains three companies that are indeed EV component suppliers based in Georgia with fewer than 200 employees, but it lacks the exact count of 6 and does not provide employment information for each company. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and some extra metadata. The count of suppliers with fewer than 200 employees is correct (6), and the top entities are mostly correct, except for Hyundai MOBIS (Georgia) which was not in the gold answer. | qwen_norag: The model-generated answer does not provide a specific number of Georgia-based EV component suppliers for Hyundai Metaplant with fewer than 200 employees, which is the core requirement of the question. | gemma_norag: The model-generated answer is off-topic and does not provide a factual alignment with the gold answer."
30,"Identify Georgia Tier 2/3 suppliers that are EV Relevant, classified as General Automotive, and provide materials to Battery Cell or Battery Pack companies, suggesting supply chain misalignment risk.",0.0,incorrect,0.0,incorrect,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer does not provide any information about Georgia Tier 2/3 suppliers that are EV Relevant, classified as General Automotive, and provide materials to Battery Cell or Battery Pack companies, suggesting supply chain misalignment risk. | gemma_rag: The model-generated answer does not provide any information about Georgia Tier 2/3 suppliers that are EV Relevant, classified as General Automotive, and provide materials to Battery Cell or Battery Pack companies, suggesting supply chain misalignment risk. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the context of Tier 2/3 suppliers in Georgia relevant to EVs, but fails to provide specific supplier names as requested. | gemma_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the type of suppliers and potential components they provide, but it does not specifically mention the two Georgia Tier 2/3 suppliers that are EV Relevant, classified as General Automotive, and provide materials to Battery Cell or Battery Pack companies."
31,Identify all Georgia-based Tier 1/2 automotive suppliers that maintain a diversified customer base (serving 'Multiple OEMs').,0.95,correct,0.95,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities and mappings, with the same count of suppliers (11) and accurate descriptions of their products and customers. The only minor difference is that the model-generated answer includes extra metadata such as tier, OEM, and product categories, but this does not affect the core correctness of the answer. | gemma_rag: The model-generated answer contains all required gold entities and mappings, with the same count of suppliers (11) and accurate descriptions of their products and customers. The only minor difference is that the model-generated answer includes extra metadata such as tier, OEM, and product categories, but this does not affect the core correctness of the answer. | qwen_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the type of suppliers (Tier 1/2) and their location (Georgia), but it fails to provide a specific list of companies, which is a crucial part of the question. | gemma_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the Tier 1/2 suppliers and their characteristics, but it fails to provide a complete list of Georgia-based companies that meet the criteria."
32,Identify Georgia companies in the Thermal Management or Power Electronics role with fewer than 200 employees - their small scale may limit surge production capacity.,0.6,partially_correct,0.85,correct,0.0,incorrect,0.4,partially_correct,gemma_rag,"qwen_rag: The model-generated answer contains some of the required information, but it is incomplete and lacks accuracy in certain aspects. It mentions Hyundai Transys Georgia Powertrain as a company with fewer than 200 employees in Thermal Management or Power Electronics role, which is correct. However, it also includes irrelevant details such as 'Tier 1/2', 'Electrical heaters, control units, and actuators', and 'Hyundai Kia Rivian' which are not present in the gold answer. Additionally, it does not provide information about the other two companies mentioned in the gold answer (Freudenberg-NOK and Peerless-Winsmith Inc.). | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the exact count of companies in the Thermal Management or Power Electronics role with fewer than 200 employees. | qwen_norag: The model-generated answer is incorrect and off-topic because it does not provide the required information about specific Georgia companies in the Thermal Management or Power Electronics role with fewer than 200 employees. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the specialized nature of thermal management and power electronics companies, but fails to provide specific company names as requested in the gold answer."
